Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1871-04,-0.40849343,-1.4619328,0.6481738
1871-05,-0.69936633,-1.2358122,-0.15659618
1871-06,-0.4863923,-1.0732771,0.10629141
1871-07,0.029430533,-0.43332553,0.4995343
1871-08,0.09552709,-0.49017814,0.68706805
1871-09,-0.602364,-1.0630947,-0.13422713
1871-10,-0.67102265,-1.2189764,-0.11680791
1871-11,-1.2420745,-1.9576615,-0.52167237
1871-12,-1.286642,-2.064727,-0.5041167
1872-01,-0.16664991,-1.0413536,0.7119106
1872-02,-0.63177043,-1.873635,0.6128198
1872-03,-0.72417843,-1.9312016,0.48565474
1872-04,-0.15225095,-1.1585647,0.8574391
1872-05,-0.07565808,-0.61645645,0.47140506
1872-06,-0.07839418,-0.66633564,0.51532763
1872-07,-0.1562398,-0.6228776,0.31768385
1872-08,-0.4202311,-0.99784225,0.16329478
1872-09,-0.28286067,-0.716143,0.15830062
1872-10,-0.14673097,-0.6637886,0.37694743
1872-11,-0.51690924,-1.2079872,0.17914666
1872-12,-0.8489586,-1.6212702,-0.07218016
1873-01,-0.15740061,-1.0079238,0.69707656
1873-02,-0.7027945,-1.9101793,0.507385
1873-03,-0.57818425,-1.7085785,0.55521035
1873-04,-1.0065451,-1.9700481,-0.039528433
1873-05,-0.5893462,-1.1166052,-0.055660356
1873-06,0.25289518,-0.34836772,0.85981375
1873-07,-0.16300048,-0.64156324,0.32268918
1873-08,0.08598267,-0.51388574,0.6915622
1873-09,-0.3275796,-0.77834505,0.13077797
1873-10,-0.48317164,-1.0116773,0.051855087
1873-11,-0.9791359,-1.6803114,-0.27303648
1873-12,-0.08965529,-0.84814703,0.67341936
1874-01,0.10164304,-0.74559504,0.9528743
1874-02,-0.47376555,-1.6490394,0.70439655
1874-03,-1.0798662,-2.190496,0.03382387
1874-04,-0.66677713,-1.6192747,0.28929546
1874-05,-0.9266336,-1.4584769,-0.3884036
1874-06,-0.41070375,-1.0396278,0.2235768
1874-07,-0.2323213,-0.7119671,0.25442788
1874-08,-0.33877116,-0.9313169,0.25955293
1874-09,-0.03191122,-0.4922557,0.4357954
1874-10,-0.3016727,-0.84084296,0.24386607
1874-11,-0.7866006,-1.4838504,-0.0844046
1874-12,-0.44154269,-1.1959087,0.31741074
1875-01,-1.12553,-1.8684883,-0.37798193
1875-02,-1.4589459,-2.4650977,-0.44939512
1875-03,-1.4927136,-2.4380963,-0.54370636
1875-04,-0.9988087,-1.8150508,-0.17836206
1875-05,-0.24969508,-0.7433082,0.2508505
1875-06,-0.22236969,-0.77540094,0.33686814
1875-07,-0.22260453,-0.6662965,0.22881596
1875-08,-0.24498619,-0.79818106,0.31444073
1875-09,-0.5710494,-0.98235106,-0.15138613
1875-10,-0.8035305,-1.2794224,-0.32037798
1875-11,-1.2426084,-1.9032489,-0.5767049
1875-12,-1.0606267,-1.7496529,-0.36654177
1876-01,-0.30714822,-1.0492586,0.43957064
1876-02,-0.36145765,-1.3617526,0.6422702
1876-03,-0.4700168,-1.3935148,0.45719898
1876-04,-0.36157182,-1.1700032,0.4511206
1876-05,-0.72934455,-1.2392443,-0.21270356
1876-06,-0.084076695,-0.62475795,0.46298495
1876-07,0.14361891,-0.30399865,0.5989186
1876-08,-0.15815428,-0.7120556,0.4020291
1876-09,-0.16780487,-0.57991385,0.25272116
1876-10,-0.572924,-1.0391868,-0.09916848
1876-11,-1.3730474,-2.0360384,-0.70475477
1876-12,-1.6062098,-2.2971196,-0.9101994
1877-01,-0.25003567,-1.0069041,0.51136285
1877-02,-0.14843291,-1.1563823,0.86292934
1877-03,-0.55606776,-1.454171,0.34586984
1877-04,-0.80752397,-1.6253515,0.014521772
1877-05,-0.9589551,-1.4667703,-0.44435635
1877-06,-0.08154177,-0.6451465,0.48819593
1877-07,0.27251035,-0.19102302,0.7435293
1877-08,0.21785258,-0.35135326,0.7931936
1877-09,-0.36162812,-0.782231,0.06725891
1877-10,-0.49669728,-0.970134,-0.015869811
1877-11,0.09283871,-0.57891846,0.76983684
1877-12,0.12577884,-0.57703376,0.8336164
1878-01,-0.35561866,-1.064721,0.35834044
1878-02,0.36117604,-0.5799502,1.3059793
1878-03,0.60016346,-0.2623586,1.4667048
1878-04,0.28544894,-0.4907447,1.0661186
1878-05,-0.50418925,-1.0414152,0.0394984
1878-06,-0.12673564,-0.6657929,0.41876376
1878-07,-0.0678045,-0.531743,0.40363252
1878-08,0.06673053,-0.48548004,0.62526953
1878-09,0.30027303,-0.11438778,0.723343
1878-10,0.120413475,-0.3390517,0.58749783
1878-11,-0.07414427,-0.72758776,0.5846906
1878-12,-1.0592183,-1.7564588,-0.3569211
1879-01,-0.49929506,-1.2188543,0.22504374
1879-02,-0.50615746,-1.4733058,0.46455964
1879-03,-0.50151867,-1.3560914,0.35709968
1879-04,-0.67804056,-1.4697645,0.11805881
1879-05,-0.61671823,-1.1350043,-0.09175496
1879-06,-0.60719436,-1.141489,-0.06645117
1879-07,-0.36074364,-0.82156473,0.10760195
1879-08,-0.30636564,-0.83540666,0.22925776
1879-09,-0.3369178,-0.74491996,0.079600245
1879-10,-0.15548354,-0.6047594,0.3015565
1879-11,-0.913781,-1.5644257,-0.25773937
1879-12,-1.3340992,-2.0395126,-0.62369436
1880-01,0.02588304,-0.6845057,0.74110883
1880-02,-0.3411202,-1.297772,0.6191299
1880-03,-0.4985034,-1.3156364,0.3228479
1880-04,-0.37280056,-1.1351265,0.39407092
1880-05,-0.21317029,-0.70843786,0.28908083
1880-06,-0.18126635,-0.72870034,0.372475
